course_name,teaching_quality,difficulty,satisfaction,assignment_load,feedback
Business Analytics,4,3,4,2,Good but needs more examples.
Advanced Calculus,1,5,1,5,Very hard and fast-paced.
Data Science 101,4,3,4,2,Interesting and informative!
AI Ethics,5,2,5,1,Insightful and well-structured!
Software Architecture,4,3,4,3,Good overview of design patterns.
Cybersecurity Fundamentals,5,3,5,2,Very interesting and practical!
Digital Marketing,4,2,4,2,Clear concepts and useful tools.
Big Data Analytics,2,5,2,5,Too much data, too little time.
Software Testing,5,2,5,2,Excellent course! Learned a lot.
Human-Computer Interaction,5,1,5,1,Loved the design projects!
